start_time,end_time,building,days,class type,classroom,course_code
10:00am,10:50am,WDS,MWF,Lecture,1114,AASP100
12:00pm,12:50pm,SYM,MWF,Lecture,0215,AASP100
2:00pm,2:50pm,SYM,MWF,Lecture,0215,AASP100
12:30pm,1:45pm,VMH,TuTh,Lecture,1203,AASP100
11:00am,12:15pm,SKN,TuTh,Lecture,1115,AASP100
2:00pm,3:15pm,KEY,TuTh,Lecture,0102,AASP100
12:30pm,1:45pm,VMH,TuTh,Lecture,1203,AASP100H
11:00am,12:15pm,,TuTh,Lecture,ONLINE,AASP101
3:30pm,4:45pm,TYD,TuTh,Lecture,0111,AASP200
11:00am,11:50am,,F,Lecture,ONLINE,AASP202
1:00pm,1:50pm,,F,Lecture,ONLINE,AASP202
11:00am,12:15pm,KEY,TuTh,Lecture,0125,AASP202
11:00am,11:50am,,F,Lecture,ONLINE,AASP202H
9:30am,10:45am,JMZ,TuTh,Lecture,0120,AASP210
12:30pm,1:45pm,KEY,TuTh,Lecture,0116,AASP298C
12:00pm,12:50pm,TWS,MWF,Lecture,0234,AASP298L
4:00pm,6:30pm,HBK,Tu,Lecture,0125,AASP301
9:30am,10:45am,WDS,TuTh,Lecture,1114,AASP310
11:00am,12:15pm,TWS,TuTh,Lecture,1106,AASP340
10:00am,11:15am,SQH,MW,Lecture,1105,AASP361
2:00pm,4:30pm,TLF,F,Lecture,1102,AASP386
3:00pm,4:15pm,,MW,Lecture,ONLINE,AASP398B
9:30am,10:45am,TWS,TuTh,Lecture,1105,AASP398N
3:00pm,5:30pm,BPS,W,Lecture,1232,AASP398Q
9:30am,10:45am,TLF,TuTh,Lecture,0110,AASP398U
3:30pm,6:00pm,TWS,M,Lecture,1320,AASP478E
3:00pm,5:30pm,TLF,M,Lecture,0101,AASP479A
4:00pm,6:30pm,BPS,W,Lecture,1236,AASP498O
3:00pm,5:45pm,KNI,M,Lecture,3202,AASP499L
9:30am,10:45am,KNI,TuTh,Lecture,3202,AASP499N
3:00pm,5:30pm,SQH,W,Lecture,1111,AASP499U
2:00pm,3:15pm,SQH,TuTh,Lecture,1105,AAST200
9:30am,10:45am,TWS,TuTh,Lecture,0223,AAST200
9:30am,10:45am,KEY,TuTh,Lecture,0126,AAST201
12:30pm,1:45pm,CHE,TuTh,Lecture,2108,AAST262
11:00am,12:15pm,JMZ,TuTh,Lecture,0125,AAST351
2:00pm,3:15pm,TWS,TuTh,Lecture,1107,AAST355
5:00pm,7:30pm,ASY,Tu,Lecture,3207,AAST363
9:30am,10:45am,EDU,TuTh,Lecture,3233,AAST388
12:30pm,1:45pm,HBK,TuTh,Lecture,1108,AAST394
11:00am,12:15pm,TWS,TuTh,Lecture,0201,AAST422
2:00pm,3:15pm,JMZ,TuTh,Lecture,1120,AAST440
2:00pm,3:15pm,PLS,MW,Lecture,1117,AAST443
3:30pm,6:00pm,JMZ,Tu,Lecture,2125,AAST498T
11:00am,12:15pm,TWS,TuTh,Lecture,0223,ABRM330
4:00pm,5:00pm,TBA,M,Lecture,,AGNR200
12:30pm,1:45pm,MMH,TuTh,Lecture,1400,AGNR301
3:30pm,5:00pm,PLS,MW,Lecture,2137,AGST440
1:00pm,1:50pm,MTH,MWF,Lecture,B0421,AMSC460
9:30am,10:45am,MTH,TuTh,Lecture,0305,AMSC460
12:30pm,1:45pm,MTH,TuTh,Lecture,0103,AMSC460
2:00pm,3:15pm,CSI,TuTh,Lecture,1121,AMSC460
9:30am,10:45am,MTH,TuTh,Lecture,0105,AMSC466
10:00am,10:50am,PHY,MWF,Lecture,0405,AMSC660
